Website,LengthOfVisit,PlaceCategory,Fee,PlaceURL,Description,Ranking,PlaceTitle,TotalReviews,Longitude,AddressLocality,AddressRegion,StreetAddress,PhoneNumber,PostCode,Latitude,OpeningHours,Email,AverageRating
,,"Wine Tours & Tastings , Food & Drink, Tours",,https://www.tripadvisor.com/Attraction_Review-g32766-d967517-Reviews-Platypus_Wine_Tours-Napa_Napa_Valley_California.html,"$110 Wine Tour. Join us on a Platypus small-group wine tour of the Napa Valley, the Sonoma Valley or the Russian River / Healdsburg wine country! You’ll visit four charming, backroads wineries, be served a picnic lunch in a winery setting and learn many interesting tidbits: local history, culture and wine making. Our specialty is intimate, fun and memorable wine tours. This is a social tour for folks who are interested in tasting some of the world’s most celebrated wines, but are not necessarily wine experts. Hotel pick-up included. Tasting fees not included. Last-minute inquiries are also welcome! We offer private tours as well. Did we mention, fun?! TCP-21230-P",#1 of 201 Food & Drink in Napa,Platypus Wine Tours,"4,719 ",,Napa,CA,101 S Coombs St,+1 707-253-2723,94559,,"Sun - Sat 7:30 am - 10:30 pm , ",info@platypustours.com,51
,,"Geologic Formations, Nature & Wildlife Areas, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g33364-d104029-Reviews-Garden_of_the_Gods-Colorado_Springs_El_Paso_County_Colorado.html,"Located at the base of Pikes Peak, this National Natural Landmark and popular park features stunning geological formations, rock climbing, nature trails and the Garden of the Gods Visitor & Nature Center.",#1 of 128 things to do in Colorado Springs,Garden of the Gods,"8,397 ",,Colorado Springs,CO,1805 N. 30th St.,+1 719-634-6666,80904,,"Sun - Sat 8:00 am - 7:00 pm , ",,201
,,"Historic Walking Areas, Historic Sites, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g60814-d181706-Reviews-Savannah_Historic_District-Savannah_Georgia.html,Savannah's picturesque historic district brings the traditional southern atmosphere to life.,#1 of 193 things to do in Savannah,Savannah Historic District,"8,442 ",,Savannah,GA,301 Martin Luther King Jr Blvd,+1 912-944-0455,30334,,,,132
,More than 3 hours,"Points of Interest & Landmarks, Sights & Landmarks, Nature & Parks",No,https://www.tripadvisor.com/Attraction_Review-g60763-d105127-Reviews-Central_Park-New_York_City_New_York.html,"For more than 150 years, visitors have flocked to Central Park's 843 green acres in the heart of Manhattan. Since 1980, the Park has been managed by the Central Park Conservancy, in partnership with the public. Central Park is open 6 am to 1 am daily. Visit the official website of Central Park to learn more about Park happenings and activities and to learn how you to help Central Park!",#1 of 978 things to do in New York City,Central Park,"72,178 ",,New York City,NY,"59th to 110th St., from Central Park West to 5th Ave.",19292498390,10022,,"Sun - Sat 8:00 am - 9:00 pm , ",website@centralparknyc.org,1208
,More than 3 hours,"Theme Parks, Disney Parks & Activities, Water & Amusement Parks",Yes,https://www.tripadvisor.com/Attraction_Review-g34515-d143395-Reviews-Magic_Kingdom-Orlando_Florida.html,"The first of the 4 theme parks to open at Walt Disney World Resort, Magic Kingdom park captures the enchantment of fairy tales with exciting entertainment, classic attractions, beloved Disney Characters and so much more.",#4 of 397 things to do in Orlando,Magic Kingdom,"40,268 ",,Orlando,FL,3111 World Drive,407 939-5277,32830,,,,2159
,,"Geologic Formations, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g143015-d1925256-Reviews-Bryce_Canyon-Bryce_Canyon_National_Park_Utah.html,,#1 of 25 things to do in Bryce Canyon National Park,Bryce Canyon,"4,501 ",,,UT,,14358345322,,,,,24
,,"Battlefields, Sights & Landmarks, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g60798-d123132-Reviews-Gettysburg_National_Military_Park-Gettysburg_Pennsylvania.html,,#1 of 68 things to do in Gettysburg,Gettysburg National Military Park,"4,997 ",,Gettysburg,PA,1195 Baltimore Pike (Route 97),717-334-1124,17325-2804,,,,56
,,"Historic Sites, Monuments & Statues, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g60982-d104386-Reviews-USS_Arizona_Memorial-Honolulu_Oahu_Hawaii.html,"A 184-foot memorial honoring the 2,388 Americans who died during the Japanese attack on Pearl Harbor.",#1 of 309 things to do in Honolulu,USS Arizona Memorial,"14,921 ",,Honolulu,HI,1 Arizona Memorial Place,(808) 422-3300,96818,,"Sun - Sat 7:00 am - 5:00 pm , ",,493
,More than 3 hours,"Specialty Museums, Museums",Yes,https://www.tripadvisor.com/Attraction_Review-g60750-d531819-Reviews-USS_Midway_Museum-San_Diego_California.html,"The USS Midway Museum is San Diego’s newest visitor attraction, this real naval aircraft carrier offers a once in a lifetime opportunity for everyone. Guests of all ages can enjoy a self-guided audio tour featuring 60 exhibits highlighting this “city at sea” and 25 restored aircrafts. Explore galleys, officer’s country and sleeping quarters of a 69,000 ton ship, naturally located in Navy Town USA, a visit to the Midway is uniquely San Diego!",#1 of 399 things to do in San Diego,USS Midway Museum,"13,646 ",,San Diego,CA,910 N. Harbor Drive,619-544-9600,92101,,"Sun - Sat 10:00 am - 5:00 pm , ",,212
,2-3 hours,"Geologic Formations, National Parks, State Parks, Nature & Wildlife Areas, Canyons, Nature & Parks, More",Yes,https://www.tripadvisor.com/Attraction_Review-g45963-d103329-Reviews-Red_Rock_Canyon_National_Conservation_Area-Las_Vegas_Nevada.html,Visitors can admire colorful rock formations on several hiking trails or on a 13-mile scenic drive.,#1 of 440 things to do in Las Vegas,Red Rock Canyon National Conservation Area,"14,073 ",,Las Vegas,NV,3205 Nevada 159,702-515-5350,89161,,"Mon - Fri 9:00 am - 5:00 pm , ",,355
